name,category,address,description,website,profile_url
เพชรรัตน์คลีนิค,คลินิก,แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400,"คลีนิคศัลยกรรมตกแต่งความสวยงาม ผ่าตัดแต่งตาสองชั้น, เสริมแต่งจมูก, ดึงหน้า, เสริมคาง, เสริมทรวงอก, ดึงหน้าท้อง, แต่งช่องคลอดทำสาว",//www.yellowpages.co.th/profile/3049467Y006301,//www.yellowpages.co.th/profile/3049467Y006301
คลินิกหมอคณิตพงษ์,คลินิก,ตำบลหาดใหญ่ อำเภอหาดใหญ่ จังหวัดสงขลา 90110,ผู้เชี่ยวชาญสาขาอยุรศาสตร์และอายุรศาสตร์โรคระบบประสาท สมองและไขสันหลัง หลอดเลือดสมอง เส้นประสาทผิดปกติ แขนขาชา อัมพฤกษ์ อัมพาต กล้ามเนื้ออ่อนแรง ปวดหัว ไมเกรน เวียนหัว ปวดทุกชนิด พาร์กินสัน อัลไซเมอร์ หลงๆ ลืมๆ โรคลมชัก กระตุก เบาหวาน ความดันสูง ไขมันสูง ปวดท้อง ไทรอยด์ โรคหัวใจ หอบหืด และโรคทั่วไป ,,https://www.yellowpages.co.th/profile/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%84%E0%B8%93%E0%B8%B4%E0%B8%95%E0%B8%9E%E0%B8%87%E0%B8%A9%E0%B9%8C-92qemVBKm
คลีนิกโคราชแล็บ,คลินิก,ตำบลในเมือง อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000,ตรวจเลือด ตรวจปัสสาวะทั่วไป ตรวจตั้งครรภ์ ตรวจเบาหวาน ตรวจไขมัน โคเลสเตอรอล ตรวจไขมันไตรกลีเซอไรด์ ตรวจไต ตรวจการทำงานของตับ sgot sgpt ตรวจไทรอยด์,,https://www.yellowpages.co.th/profile/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B9%81%E0%B8%A5%E0%B9%87%E0%B8%9A-50bhT0P7w
ท็อป แลบ,คลินิก,ตำบลหาดใหญ่ อำเภอหาดใหญ่ จังหวัดสงขลา 90110,ตรวจเลือด ตรวจปัสสาวะ ตรวจชิ้นเนื้อ ตรวจสุขภาพประจำปี ตรวจโรคติดเชื้อ ตรวจก่อนแต่งงาน ตรวจสารคัดหลั่ง ตรวจหามะเร็ง,,https://www.yellowpages.co.th/profile/%E0%B8%97%E0%B9%87%E0%B8%AD%E0%B8%9B-%E0%B9%81%E0%B8%A5%E0%B8%9A-92CeZaD8k
คลินิกกระดูกและข้อ-โรคทั่วไป หมอสาธิต,คลินิก,ตำบลหนองบัว อำเภอเมืองหนองบัวลำภู จังหวัดหนองบัวลำภู 39000,คลินิกกระดูกและข้อ และโรคทั่วไป หมอสาธิต หนองบัวลำภู  ศูนย์ รักษาโรคกระดูกข้อ  จังหวัดหนองบัวลำภู และคลินิกหนองบัวลำภู  ศูนย์โรคกระดูก และ ข้อ หมอสาธิต ให้บริการตรวจวินิจฉัย รักษา และ ให้คำปรึกษา  อาการ โรคทางกระดูกและข้อ  อุบัติเหตุ กระดูกหัก ข้อเคลื่อนหลุด ข้อแพลง บาดเจ็บกล้ามเนื้อ เส้นเอ็น และ เส,,https://www.yellowpages.co.th/profile/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B9%E0%B8%81%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%82%E0%B9%89%E0%B8%AD-%E0%B9%82%E0%B8%A3%E0%B8%84%E0%B8%97%E0%B8%B1%E0%B9%88%E0%B8%A7%E0%B9%84%E0%B8%9B-%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%AA%E0%B8%B2%E0%B8%98%E0%B8%B4%E0%B8%95-92OTPhvpN
คลินิก หมอวชิรญา (หมอปู),คลินิก,ตำบลเมืองเหนือ อำเภอเมืองศรีสะเกษ จังหวัดศรีสะเกษ 33000,", โรคหอบหืด, ภูมิแพ้, ติดเชื้อ, โรคตับ, โรคกระเพาะ, โรคเลือด, ความดันโลหิตสูง, โรคเบาหวานศูนย์แล็ป-ตรวจเลือดคลินิกรักษาโรคไต, โรคหอบหืด, ภูมิแพ้, ติดเชื้อ, โรคตับ, โรคกระเพาะ, โรคเลือด, ความดันโลหิตสูง, โรคเบาหวาน",,https://www.yellowpages.co.th/profile/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81-%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%A7%E0%B8%8A%E0%B8%B4%E0%B8%A3%E0%B8%8D%E0%B8%B2-%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%9B%E0%B8%B9-92GKCeSAK
ลำปางโมเดิร์นแลบ,คลินิก,ตำบลสบตุ๋ย อำเภอเมืองลำปาง จังหวัดลำปาง 52100,"คลินิกลำปาง, ตรวจสุขภาพ ลำปาง แล็บตรวจเลือด, ตรวจเลือด, ตรวจปัสสาวะ, ตรวจภูมิแพ้,ตรวจระดับฮอร์โมน, ตรวจสุขภาพประจำปี, ตรวจ HIV Confirm, ตรวจสารก่อมะเร็ง, ตรวจอาชีวอนามัย, ตรวจสมรรถภาพปอด, ตรวจสมรรถภาพมองเห็น, ตรวจสมรรถภาพการได้ยิน, x-ray ทรวงอก, ตรวจโลหะหนัก ให้บริการทั่วภาพเหนือ ลำปาง ลำพูน สุโขทัย",,https://www.yellowpages.co.th/profile/%E0%B8%A5%E0%B8%B3%E0%B8%9B%E0%B8%B2%E0%B8%87%E0%B9%82%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B8%B4%E0%B8%A3%E0%B9%8C%E0%B8%99%E0%B9%81%E0%B8%A5%E0%B8%9A-932QuSRTb
คลีนิกรักษาสัตว์แก้วสัตวแพทย์,คลินิก,ตำบลเมืองเดช อำเภอเดชอุดม จังหวัดอุบลราชธานี 34160,X-ray อัลตราซาวด์ ผ่าตัด ทำหมัน ศัลยกรรมกระดูก ฉีดวัคซีน รักษาโรคทั่วไป พร้อมให้คำปรึกษาสุขภาพสัตว์เลี้ยง,,https://www.yellowpages.co.th/profile/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C-93YCnQ3nb
อุดมคลีนิค,คลินิก,ตำบลหมากแข้ง อำเภอเมืองอุดรธานี จังหวัดอุดรธานี 41000,รักษารากฟัน ฟันปลอม ขูดหินปูนถอน อุด จัดฟัน รักษาโรคเหงือก ใส่ฟัน รากเทียม,,https://www.yellowpages.co.th/profile/%E0%B8%AD%E0%B8%B8%E0%B8%94%E0%B8%A1%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%84-8Hes7T0Qh
คลินิก แพทย์ เจนฤทธิ์,คลินิก,ตำบลในเมือง อำเภอเมืองอุบลราชธานี จังหวัดอุบลราชธานี 34000,รักษาโรคเฉพาะทาง รักษาโรคทั่วไป โรคกระดูก-ข้อ โรคเด็ก ในอุบลราชธานี บริการตรวจรักษาด้านอายุรกรรม และโรคเกี่ยวกับกระดูก โรคข้อต่อกระดูกต่างๆ โดยแพทย์ เจนฤทธิ์ วิตตะ แพทย์ศิริราช,,https://www.yellowpages.co.th/profile/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81-%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C-%E0%B9%80%E0%B8%88%E0%B8%99%E0%B8%A4%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B9%8C-92iZnv0mu
หมอจ๋ารักษาสัตว์ พัทยา,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลหนองปรือ อำเภอบางละมุง จังหวัดชลบุรี 20150,บริการรักษาสัตว์เลี้ยงนอกสถานที่ฟรี ตรวจรักษาโรคสัตว์เลี้ยง ทำหมันสัตว์เลี้ยง อาบน้ำสัตว์เลี้ยง ฉีดวัคซีนสัตว์เลี้ยงสุนัข และแมว,,https://www.yellowpages.co.th/profile/%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%88%E0%B9%8B%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C-%E0%B8%9E%E0%B8%B1%E0%B8%97%E0%B8%A2%E0%B8%B2-93ODHcUS8
ณรงค์ศักดิ์ สัตวแพทย์,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลปากช่อง อำเภอปากช่อง จังหวัดนครราชสีมา 30130,ตรวจรักษา เอ๊กซ์เรย์ ตรวจเลือด ผสมเทียม ผ่าตัด ทำหมัน ทำคลอด ฉีดยากันเห็บหมัด รับให้คำปรึกษาและฉีดวัคซีนนอกสถานที่ จำหน่ายอาหารสัตว์ รับฝากสัตว์เลี้ยง บริการรับรักษาสัตว์นอกสถานที่ บริการฉีดวัคซีนนอกสถานที่,,https://www.yellowpages.co.th/profile/%E0%B8%93%E0%B8%A3%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B8%A8%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%B4%E0%B9%8C-%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C-92OD5DB7p
โรงพยาบาลสัตว์ ชลบุรี,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลบางปลาสร้อย อำเภอเมืองชลบุรี จังหวัดชลบุรี 20000,โรงพยาบาลสัตว์ รักษาสัตว์ สัตวแพทย์ รักษา ผ่าตัด เอ็กซ์เรย์ ตรวจเลือด ขูดหินปูน อาบน้ำ ตัดขน บริการนอกสถานที่,,https://www.yellowpages.co.th/profile/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C-%E0%B8%8A%E0%B8%A5%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5-92PjvlmRv
ศิริพรสัตวแพทย์,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลท่าพระ อำเภอเมืองขอนแก่น จังหวัดขอนแก่น 40260,รักษาสัตว์ ขอนแก่น  รักษาสัตว์น้ำ ขอนแก่น  รักษาสัตว์ 24 ชั่วโมง ขอนแก่น รักษาสัตว์ 24 ชั่วโมง  อาหารสัตว์ ขอนแก่น  อาบน้ำสัตว์ ขอนแก่น  อาบน้ำสุนัข ขอนแก่น ตัดขนสุนัข ขอนแก่น  รักษาปลา ขอนแก่น รักษาม้า ขอนแก่น รักษาวัว ขอนแก่น รักษาควาย ขอนแก่น  ยาบำรุงสัตว์ ขอนแก่น,,https://www.yellowpages.co.th/profile/%E0%B8%A8%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%9E%E0%B8%A3%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C-92GWKdGnT
โรงพยาบาลสัตว์สุพจน์,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลในเมือง อำเภอเมืองพิษณุโลก จังหวัดพิษณุโลก 65000,ตรวจรักษาโรค ตา ผิวหนัง หัวใจ ผ่าตัด แก้ไขกระดูกหักในสัตว์เลี้ยง จำหน่ายสินค้าเกี่ยวกับสัตว์เลี้ยง รักษาสัตว์เลี้ยงทุกประเภท พิษณุโลก อาทิ สุนัข แมว นก หนู ปลา กระต่าย และสัตว์แปลก มีเครื่องมือช่วยการวินิจฉัยโรคที่ทันสมัย พิษณุโลก เช่น อัลตร้าซาวด์ เอ็กซเรย์ดิจิตอล เป็นต้น,,https://www.yellowpages.co.th/profile/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C%E0%B8%AA%E0%B8%B8%E0%B8%9E%E0%B8%88%E0%B8%99%E0%B9%8C-92LzOS61H
โรงพยาบาลสัตว์ สมายด็อก,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลเสม็ด อำเภอเมืองชลบุรี จังหวัดชลบุรี 20130,"สัตวแพทย์ ชลบุรี,รักษาสัตว์ ชลบุรี,คลินิกเฉพาะทางสัตว์,รับฝากเลี้ยงสัตว์,ฉีดวัคซีน นอกสถานที่,กำจัดเห็บ-หมัด,ตรวจผิวหนังสัตว์ บางแสน,x-ray,ผ่าคลอดสุนัข ชลบุรี,โรงพยาบาลสัตว์ ชลบุรี สะอาด,รักษาโรคสัตว์ บางแสน,อัลตร้าซาวด์ช่องท้อง,ผ่าคลอด,ทำหมันสุนัข ชลบุรี,โรงพยาบาลสัตว์ บางแสน,อุปกรณ์สัตว์เลี้ยง,จำห",,https://www.yellowpages.co.th/profile/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C-%E0%B8%AA%E0%B8%A1%E0%B8%B2%E0%B8%A2%E0%B8%94%E0%B9%87%E0%B8%AD%E0%B8%81-93YxE0gZ3
โรงพยาบาลสัตว์ศรีสะเกษ,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลเมืองใต้ อำเภอเมืองศรีสะเกษ จังหวัดศรีสะเกษ 33000,"รักษาสัตว์, เอ็กซเรย์, อัลตร้าซาวด์, อุบัติเหตุ-ฉุกเฉิน เครื่องช่วยหายใจ, เครื่องตรวจสัญญาณชีพ, เครื่องตรวจเลือด, คลื่นไฟฟ้าหัวใจ ดมยาสลบ ผ่าตัด, ผ่าตัดกระดูกหัก โรงพยาบาลสัตว์เพื่อการรับรักษาต่อ อาบน้ำ-ตัดขนอุปกรณ์การเลี้ยงสัตว์ อาหารสัตว์เลี้ยง ซุปเปอร์มาร์เก็ตสินค้าสัตว์เลี้ยง ปลาสวยงาม อุปกรณ์เล",,https://www.yellowpages.co.th/profile/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%AA%E0%B8%B0%E0%B9%80%E0%B8%81%E0%B8%A9-92zJAcYi3
